버스정류장명,정류장번호,도로명주소,지번주소,위도,경도,기준일
작실 마을회관,10001,,강원특별자치도 원주시 부론면 단강리  1199,37.164057,127.790732,2024-03-31
해삼터,10002,강원특별자치도 원주시 흥업면 해삼터길 1,강원특별자치도 원주시 흥업면 대안리 산 52,37.303449,127.89303,2024-03-31
해삼터,10003,,강원특별자치도 원주시 흥업면 대안리 312,37.303574,127.892941,2024-03-31
대안리,10004,,강원특별자치도 원주시 흥업면 대안리 1027,37.297705,127.885516,2024-03-31
신촌,10005,,강원특별자치도 원주시 흥업면 대안리 1027,37.29804,127.885978,2024-03-31
느티나무,10006,,강원특별자치도 원주시 흥업면 대안리  2229,37.295533,127.884764,2024-03-31
느티나무,10007,,강원특별자치도 원주시 흥업면 대안리  1319,37.295528,127.884922,2024-03-31
검산,10008,,강원특별자치도 원주시 흥업면 대안리  1200,37.291492,127.884258,2024-03-31
검산,10009,,강원특별자치도 원주시 흥업면 대안리  1200,37.291411,127.884348,2024-03-31
원주제재소,10010,,강원특별자치도 원주시 흥업면 대안리  1200,37.288469,127.882381,2024-03-31
원주제재소,10011,,강원특별자치도 원주시 흥업면 대안리  1200,37.288429,127.882488,2024-03-31
술산리,10012,,강원특별자치도 원주시 흥업면 대안리  1425,37.28393,127.87986,2024-03-31
술산,10013,,강원특별자치도 원주시 흥업면 대안리  1442,37.284033,127.880137,2024-03-31
술미,10014,,강원특별자치도 원주시 흥업면 대안리  1682,37.278405,127.87814,2024-03-31
술미,10015,,강원특별자치도 원주시 흥업면 대안리  1682,37.278401,127.878287,2024-03-31
대안저수지,10016,,강원특별자치도 원주시 흥업면 대안리  1771,37.27466,127.879246,2024-03-31
대안저수지,10017,,강원특별자치도 원주시 흥업면 대안리  1771,37.274994,127.879399,2024-03-31
대안리,10018,강원특별자치도 원주시 흥업면 대안로 578,강원특별자치도 원주시 흥업면 대안리 2237,37.272242,127.878558,2024-03-31
다리골,10019,,강원특별자치도 원주시 귀래면 운남리 116,37.180564,127.920429,2024-03-31
다리골,10020,,강원특별자치도 원주시 귀래면 운남리  135,37.180597,127.919562,2024-03-31
진밭,10021,,강원특별자치도 원주시 문막읍 취병리 799,37.344839,127.770564,2024-03-31
진밭,10022,강원특별자치도 원주시 문막읍 취병로 746,강원특별자치도 원주시 문막읍 취병리 918,37.34406,127.770411,2024-03-31
관설동 종점,10023,,강원특별자치도 원주시 관설동 309,37.300581,127.982576,2024-03-31
관설동 종점,10024,,강원특별자치도 원주시 관설동 312,37.300554,127.982875,2024-03-31
기업도시로,10025,,강원특별자치도 원주시 지정면 가곡리  1482,37.372115,127.870087,2024-03-31
기업도시로,10026,,강원특별자치도 원주시 지정면 가곡리  1321,37.371895,127.869865,2024-03-31
의료기기종합지원센터,10027,,강원특별자치도 원주시 지정면 가곡리  1322,37.370856,127.873331,2024-03-31
